,essay,emotion
2097,He's not bad that Messi fella.,neutral
2098,Spot The Difference! 3 Things: - Same Scoreline - A Double From Messi - Premier League Teams Now Please Talk To Me About English Football And The Premier League! THIS IS CONSISTENCY! QUALITY! USER USER https://t.co/fLOWKZsUg6,neutral
2099,since I was I child books were my best friends. So happy to everyone ❤️ please keep reading and writing,joy
2100,"USER Excellent point!!! has received A BILLION in donations. So let's fund these churches at home, is all set folks, so now let's do these!",neutral
2101,NEW: Pres. Trump: “The United States stands with the People of and their Freedom!” https://t.co/cr3LAPkFpO https://t.co/8WNIVbgPZU,joy
2102,"im okay now with only 3 episodes left of after remembering they are all over an hour &amp; 18 minutes (78, 79, 79)",neutral
2103,This article about the vaults and buttresses of Notre Dame is interesting but I hope it isn't correct to say that the wooden roof will likely be replaced by metal. The craft of large scale structural wood work is a beautiful thing. https://t.co/SLrfsAuAcI,fear
2104,"😬 What a match today. 😬 Wherever you are watching in the world today, I hope every single member can feel some sense of unity as all eyes are locked on the Camp Nou. COME ON YOU MIGHTY MIGHTY REDMEN!!!!! 🔴🔴🔴",joy
2105,history repeats itself... Evil policies by evil politicians insults democracy once again... https://t.co/FYlyep1rNA,disgust
2106,USER She was fierce....no fear....at least she was up fighting unlike Brans ass who just sat there watching everybody get killed....he could have rolled his ass over a toe or two....#gameofthrones,neutral
2107,Holy mother of god. Was that the best episode ever or what?,joy
2108,"Read about what happened to Notre Dame today, stay strong France. 😔 I drew this today to show my condolences. https://t.co/Ze8bBoO34R",sadness
2109,'We have won the future and lost the past': Sanchez's win USER https://t.co/5A7IROhBSe,sadness
2110,"Given that Notre Dame just received $200 million for repairs, I would agree. https://t.co/lHqVDrrCty",neutral
2111,The largest newspaper (USER) in concerned about how long-term relative economic fuels https://t.co/BoLzHnAVHU Thanks USER Let's see what happens in https://t.co/YdRNwR8Ala https://t.co/apAWl2opkl,neutral
2112,Here's how you can help recover from the devastating https://t.co/oh8ok7quk3 https://t.co/IQhZWAa9GE,neutral
2113,"To get you in the mood for tonight's epic match up, we've hand picked some crazy bets that just might come true. Check out our theories, and get boosted prices on them here: https://t.co/YcSYnHeeXm",neutral
2114,"USER 1. Why not try something new for a change dear USER? How about some investigative I know THIS is a very new concept for you, but why not ask: - Who is the behind - Why is she being promoted by the &amp; even",neutral
2115,"Art Historian USER on the Cathedral stood as a testament to how humanity can ""create astonishing things"" when people ""direct their ingenuity to something outside themselves."" https://t.co/2TdcX4YYA5 USER USER",neutral
2116,And tonight Barcelona will win the again,joy
2117,Liverpool better work weak ass Barcelona today 💪😤 let’s go reds. 🔴🔴🔴,disgust
2118,It's and we want to know what's your favorite quote from your favorite book? Here's ours and of course it's from Struggle Well! Get your copy today! https://t.co/EqdsgZOpVm,joy
2119,On Grab a copy of Kubernetes for DevOps for every re-tweet get a free copy https://t.co/GmJDD8LAuY https://t.co/XMXrk4ZOAf,neutral
2120,"Happy World Book Day, readers and writers! 💚 Scouring the Internet, I found these lovely reading and library moments. https://t.co/dLmrdodrqZ",joy
2121,Shame about but there are millions of acres of rain forest burned each year and no one cares😢,sadness
2122,Happy Book Lovers! If you're looking for some reading recs to tide you over till we meet in NOLA next month for we've got you covered 😉💜 https://t.co/YlNtyzXShy,joy
2123,"The Nou Camp, definitley the best stadium in the world",joy
2124,I am the punishment of God. If you have not committed great sin God would have not send a punishment like me upon you (#Pakistan) . https://t.co/TV9Tu8Q2UY,neutral
2125,It’s a BIG one Barcelona V Liverpool 5 Large Screens Table Service All Welcome. ⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️USER USER_net,neutral
2126,FT: 1-0 Leo (who else?!) comes off the bench to score the winner and seal the title for Barca! Will any team stop their dominance next season? USER USER_es Match stats: https://t.co/YcZdmU6d1U https://t.co/E1aU2ioD8a,joy
2127,"My son came home from school today with no pants 👖, not sure how to proceed with this. Any tips?",surprise
2128,Happy here are some recent and current reads https://t.co/uD6So6kIIh,neutral
2129,"proud of the boys last night - we seriously missed Kane, Sonny and Winks though, hopefully we can put it right next week!",joy
2130,"The most widely read book in the world This book has such a precious knowledge that if a bad person is bad, then once you read this book, then all bad habits will be lost and the main purpose of our life is by reading this book. If you know, you can also read. https://t.co/dBYNIsWkG4",neutral
2131,MY BABY ARYA SAVED THE WORLD🤘😝‼️ SHE IS THAT BITCH‼️ https://t.co/UTWVxMOH4T,joy
2132,"In 1989, Beijing tanks crushed the people. In 2019, Venezuelan armored vehicles hit the people. Today, 30 years later, the dictator’s means are still bloody and barbaric https://t.co/nTwso5WSJN",anger
2133,"Full on leaped off the couch, starfish posed and screamed at the end. Not spoke since and probably never will again.",neutral
2134,Am i the fifth best player for you now? https://t.co/hraYZ1juMo,neutral
2135,Watching USER watch GoT Red Wedding on insta is my favourite 😂,joy
2136,USER - My free advice...Dont get involved in ! It will be a quagmire just like !,disgust
2137,"Conspiracy theories are running rife like wildfire about the disastrous Some USA Facebook ""friends"" are in full blame/pointing fingers/tinfoil-hat/hate/xenophobia/racist mode &amp; more of an ilk are popping out of the woodwork. Sheer madness!",neutral
2138,Happy What are you reading this week? by patricknessbooks for me. goodreads… https://t.co/46CZNzimcT,neutral
2139,USER 🏆🏆🏆!! Good luck for night..#LaLiga champ,joy
2140,I have felt hopelessness over Here is how we move past the immense grief | Rob Law https://t.co/p4zRmFZ2M1,sadness
2141,"are not made for furniture, but there is nothing else that so beautifully furnishes a house. https://t.co/vztPwH0wkp",joy
2142,This says more than words can😢 keep up tge good work ❤️ https://t.co/FiruSnrGbE,joy
2143,"(So, yeah, definitely not just watched it again...)",neutral
2144,USER_Matter2 USER Why didn't this cartoon just go with Trumps original idea of using a plane to drop water on the https://t.co/nFoyatBTFD,neutral
2145,That's right! It is a humanitarian crisis and an attack on needs to leave NOW! we stand with you! Estamos con Uds!!!! https://t.co/G3eC6Dpu6q,neutral
2146,🏆 are Champions of Spain for the 26th time! 📱#Yobetit https://t.co/kKKGbnuNuS,joy
2147,Happy from all of us at Editor's Essentials! https://t.co/kjD9BDJPgP,joy
2148,USER USER Yes but don't let grisswalds near it. God bless the people of France. https://t.co/LmowQ2WQ6A,neutral
2149,USER What do you feel about the current trend of riding on popular genres?,neutral
2150,Liverpool CEO urges calm after six arrested https://t.co/2nSn6SEZ3E,joy
2151,"Throwback! A piece on my love for books and one of my favorite books named ""Code Name God"" by Mani Bhaumik. I wrote this on 25th anniversary of USER https://t.co/3ofDxjTqlM",joy
2152,The Compassionate Civilization Collaborative (C3) has declared a climate/ecosystem emergency. Time for everyone to do everything they can to save life on Earth.,fear
2153,So Billionaires around the globe are donating for the reconstruction of the Notre Dame church but cant even give atleast a million to solve world hunger or homelessness 😂 hope y’all go to heaven with that hypocritical shit,anger
2154,The face of socialism –&gt; when a country is ruined to the point that it’s citizens dig up corpses to look for valuables… https://t.co/LukUinE2wN USER,disgust
2155,USER ‘s commentary on GoT is almost as amazing as the show itself!,joy
2156,One solitary good thing about the clearly evil people currently running the country They are inspiring a whole lot of very good humans to stand up and fight,neutral
2157,"I really hope the fire at Norte Dame was an accident, however, I am not sure it was. With all the churches that have been attack in France lately.",disgust
2158,USER USER Carlos - Why did you come out and stop the people from taking back by saying it's not a military coup? It was working until you spoke. You should be recalled ASAP! Watching in shame...,disgust
2159,"A well told lie can heal. Otherwise, what's fiction.? -Jerry Pinto",neutral
2160,I was near tears boys..,sadness
2161,The crisis in is entering its 11th hour. President USER has marshaled millions of peaceful protesters and called on the military to stand with the Venezuelan people and stop propping up the socialist dictatorship of USER. Read: … https://t.co/m6LxbIA6Dc,fear
2162,Half time! half alive with hope hanging in balance. 1-0 is not bad a result to take home. USER,joy
2163,"I know we’re all still riding high on the Arya wave, but is not supposed to have a happy ending and I’m worried last night was the last triumphant moment we’ll get.",fear
2164,Uncommon take: Notre Dame cathedral fire broke out around 6 pm It took firefighters 66 minutes to extinguish the flames 666 is the sign of the Devil 🤔🤔🤔#NotreDameCathedralFire,neutral
2165,I love how much celebrated that goal!,joy
2166,If he’s not the GOAT 🐐 then he’s pretty close! https://t.co/hHbYXwyqJh,joy
2167,"""No one could kill the night king, but the girl is no one."" https://t.co/Pxc0zgxCQm",neutral
2168,We are the Champions! Campeones 8 de 11.,joy
2169,USER happy 📚 to you :) following your tweets is as knowledgeable as reading a book. thank you for the learning we get from your tweets 💕 of size zero,joy
2170,"USER US interventions in -&gt; Millions killed &amp; displaced + the rise of ISIS -&gt; Thousands killed, millions displaced + slave markets -&gt; Death and destruction + millions displaced But sure, US intervention in sounds like a totally wonderful idea",neutral
2171,USER USER We are with you. Fight fight fight! For your country's freedom.,neutral
2172,USER USER USER Americans should note that communists rats USER and USER have not expressed their solidarity with the people from neither their condemning against the brutal communist regime of USER USER,disgust
2173,Good is a Foundation for Building in https://t.co/mOlM7fvxMK,neutral
2174,Have I missed the part of life where everyone needs insurance except churches?,disgust
2175,"| ""They are looking to make soldiers fight other soldiers."" https://t.co/QMXM7GRmbW",neutral
2176,I'll watch all three episodes today I think there's only two more left &amp; it's done. Can't afford any extras anyway so will cancel HBO again asap. I hope all you fucking pigs who exploited me burn in hell.,anger
2177,USER Thank you USER Happy to you too 🙂,joy
2178,USER Please condemn the attempted coup in,anger
2179,"""He wants to domesticate them, to give them cattle status. The cattle breeder also is a benevolent despot."" Ludwig von Mises, Bureaucracy, p. 91",disgust
2180,"Breaking news, listeners! will be airing a special segment on the unfolding crisis in at 4:30pm TODAY. Tune in to USER! https://t.co/8zaJzbnLuC",neutral
2181,Wrath Of The Lich King did it better,neutral
2182,Read up here regarding what's going on in Guaido is the legitimate president; Maduro is nothing but an authoritarian murderer clinging to power by force that needs to go away. https://t.co/ujiHzDr3mW,neutral
2183,Match day again. This season has been exhausting and exhilarating at the same time 🤣,neutral
2184,"I'd like to pile on to the ""Fire"" section of this wonderful thread, adding that it had to be darker than dark, because even in scales of ""TV dark"" it was so dark as to be nigh unwatchable. https://t.co/TvEwuoox6P",disgust
2185,Messi is just magnificent as a cr7 fan I gotta applaud him for what he does in this game insane,joy
2186,"Earth is greener today than it was 20 years ago thanks to 'human activity,' ⁦USER⁩ study shows ( USER ) https://t.co/0UrexSzGoz",neutral
2187,Only saw the ⁦USER⁩ in January was an amazing beautiful place. So sad to hear about the fire😥 https://t.co/sySMPhssr6,sadness
2188,Lost count of the number of times I’ve Tweeted about him. Greatest of All Time. No question 🤫 https://t.co/TRIdRlRX19,joy
2189,WATCH LIVE: Shots fired in amid coup attempt https://t.co/gwD79Yi5rE,neutral
2190,was about to flee That says a lot about that bastard.,disgust
2191,Prophet Mohammad: Search for knowledge from the cradle to the grave https://t.co/4n9gQscPeq,joy
2192,That's all very well but if I had builders in I'd make sure they were insured? Like the French Revolution time will tell! That's why there is Reinsurance 4/4,neutral
2193,"!!Today's (Lady Pauline to Win - 2:15 (#Calyx to Win - 3:55 (BTTS, Match Odds - 2.37/1",surprise
2194,"I didn’t realize today is when I tweeted this out earlier. Ha! So, what are your favourite books? https://t.co/S8qXbZtdbg",joy
2195,*****Is disgusting how power builds a most twisted head of leadership today! My God take care of the good people of now! https://t.co/vM9gr49uwX,neutral
2196,Laws. Anyone who can't see the truth is still sleeping or don't care. Best President in my lifetime!,neutral
2197,"Commuting home? Relax, grab your favourite book and let us do the driving while you read! 📖🚌 https://t.co/X04k7GzUQI",neutral
2198,"Why TF else would you raise an army of the dead, walk for years to come give smoke to one man in 7 kingdoms He definitely beat your wifes cheeks",neutral
2199,People keep complaining that was too dark. You just need to buy good TVs! 🤣,neutral
2200,Can we all laugh at Liverpool yet 😂😂😂,joy
2201,"I love when shows like do awesome things with female characters, generally. I specifically loved the last episode because I got to watch conservative trolls like Jack Proboscis or whatever his name is become little snowflakes and cry out ""BUT WHAT ABOUT THE MEN""",joy
2202,"With just over 2 hours to go to in , Surely has the makings of a very exciting game?? Who will win🤔🤔 up against their ex players https://t.co/8KnBC5SVyY",neutral
2203,Hope every team on will lose.,disgust
2204,"I'm not normally one to pile on, but the inability to clearly see what goes on in the night scenes of has been literally the only critique I have ever had of the show. But last night was worse than ever.",neutral
2205,This is important - when obscure interests start to One thing we can know - message must be spot on USER USER https://t.co/18pk1yzbUf,neutral
2206,"“Once you learn to read, you will be forever free.” – Frederick Douglas",neutral
2207,Can't wait for the Directors Cut on the Blu-ray. SEE* THE EPISODE LIKE NEVER BEFORE! *No seriously we've turned the brightness up a few notches.,joy
2208,USER USER Well done USER for stepping up to help with the rebuild https://t.co/tKTJtC35aL,joy
2209,"I overheard 2 guys at the grocery store analyzing the latest episode, loudly giving away all kinds of spoilers with reckless abandon, and I was never so glad to not care about something.",neutral
2210,"You can not imagine how much I'm in tears !! 😭😔May God help them! May God protect them and bless them! As for the police, God will see you and judge you. I pray for you from France! 🙏🏽💙",sadness
2211,"USER Hola there is your unroll: Thread by USER: ""I'll be banned for this for but let's talk for real about the spiritual battle we fight. It's not against men but prince […]"" https://t.co/BCssYD3QDo See you soon. 🤖",neutral
2212,Legit. You're fighting the DEAD. And you place the most vulnerable in a place full of fucking dead people!? Really!?,disgust
2213,An Irish Bar on a tropical island with this view is a little difficult to get my head around! • https://t.co/VL4G1w3CXy,neutral
2214,"Panic go to theatre, Meet hey In WasteManagement, means Garbage mismanagement. https://t.co/qhKUAMCwuj",neutral
2215,"Y'all realise that is to our Generation, what Star Trek &amp; Star Wars was to the previous generation",neutral
2216,"Great interior video if it looks the rose window made it, most of the vault and such. https://t.co/Qa9KtyNowV",neutral
2217,"USER ""No Safe Level of Radiation""? Human bodies emit in a natural way as much radiation(gamma-ray from potassium-40) as a carbon-free nuclear power plant. https://t.co/46NOCKOQmr",neutral
2218,"💰 USER has had some quality winning accas recently... ⚽️ He's got a 5/1 treble for tonight's action, away from the https://t.co/Pl27MZ4K7R",neutral
2219,Books have the power to promote open and inclusive knowledge societies. On we encourage EVERYONE to discover the pleasure of reading. Download the book Frieda and the SDGs 👉https://t.co/waNzZo2GJl USER https://t.co/hjViIz80z2,neutral
2220,"refuse to learn from refuse to listen to facts, ignore video evidence of the result of unfolding in and yet they persist, thinking that putting the word “Democratic” in front of “Socialism” is going to make their ideas more viable. https://t.co/6w0Yv5peag",anger
2221,"USER USER Whilst I'm sure most of the pundits will lead on , I have no doubt that some of the splendid increase in Green votes was also to do with . Will USER report on that?",neutral
2222,USER USER_giants_oz USER USER If only Bolt the dimwit had a hint of intelligence like Greta the climate change warrior. All the power to her and today's youth who are fighting for a better future for all.,neutral
2223,"Things I'm sick of hearing about in the last four days: and If both of those can go ahead and go away, that'd be great. Now I understand why people post spoilers.",anger
2224,Books elevate mankind by refining the person. Expand your Mind. Read books. May Great books seek you.,joy
2225,Isaac Asimov’s Foundation novels just made it to the on the Happy https://t.co/KqbZDpebPO,joy
2226,Dear USER Read up on because you're going to have to answer for having Maduro's gun control beliefs sooner or later on the campaign trail.,anger
2227,The GOAT Lionel Messi strikes again! You gotta adore this man!,joy
2228,"On Sunday, for first time Vox - the far-right group is predicted to win more than a single seat in parliament. Hopefully two-seats. https://t.co/ANc7mRcJD3",neutral
2229,"A Church that can pay millions out in damages for promoting, practing, and protecting sexual abusers of innocent children has the money to repair their own Cathedral.",disgust
2230,"You are desperate for a after your heartbreak over the Guess what, our next STEM circuit is only 1 week away! Get your free ticket now! https://t.co/IzCTi5UWlR",joy
2231,Sorry Prof. Hanke: Guaido is not leading a coup since is the legitimate President of https://t.co/bVPuTccrSQ,neutral
2232,"After soooo many years, the champion will get the trophy the same season. Great change!",joy
2233,"So now that a car ran over protestors, is Trump going to say they're all very fine people? https://t.co/yhm1SFKZkI",anger
2234,Let's stay positive and rebuild the cathedral bigger and more beautiful than ever! 🙌 https://t.co/Iz37Xtcy86,joy
2235,USER The outcome of the architects competition for the replacement spire destroyed has been pre decided to be https://t.co/MWgoWovvBt,neutral
2236,USER 🎶F*ck all 🎶ya gonna win f*ck all 🎶 🤪🤪,anger
2237,"Look,european people, at your beloved arab immigrants. Look at their rejoice on your grief. Look and think carefully. https://t.co/NthlPOyoE8",neutral
2238,As if! Connection on the left Coutinho-Alba and great finish from Suarez. Let’s see if change something.,joy
2239,So moving. May this great icon rise again from the flames! https://t.co/lsBN6VvzTC,joy
2240,"Amazing atmosphere and celebrations as take the title, thanks to another - great to see, and feel lucky to have been here on such a special night... https://t.co/r8GMSsjCZD",neutral
2241,"it is ... And the wait is for my favourite author and most anticipated book from USER However no compromise onto your regular excellence pls, so no pressures :)",neutral
2242,protecting was foreshadowed in season 1 when he was attacked by wildlings in godswood,neutral
2243,"Just watched GOT again . Less tense this time so I could enjoy it a bit more lol. End of the day, the Night King made the crucial mistake of believing his own hype. Got arrogant and thought he had Bran for breakfast........'Not Today'!!!!!! 💋",neutral
2244,Congratulations to us on winning ... Again 😁😁#FcBarcelona 8 in 11 years,neutral
2245,How many nations is this wackjob threatening at once ? Honestly has the whole world gone bat shit crazy? These people are out threatening violence on every content on the planet. https://t.co/K3OE0OmdIb,neutral
2246,"Now this is just sloppy! Trying for more [They] sure have a thing for church fires, don’t they...🤔 USER https://t.co/Iy3MSNkI2c",disgust
2247,"My fiance's only comment to me about was ""now we won't be able to see it on our honeymoon"".",disgust
2248,"You dont man mark Messi you cloud him, awesome job from USER cant wait for second half",joy
2249,"USER There's nothing irrational about rebuilding a work of historical ingenuity and a masterpiece...I like the effort, though!",neutral
2250,"The conservators in charge of those rags are underpaid, and it only takes one leaving rags lying about. The restoration effort will be a massive job creator, which France really needs. It only takes one person bribing one conservator.",disgust
2251,"X Marks the Spot! Despite the rubble and the devastation of life, the cross is where peace, redemption, glory, VICTORY can be found. Whatever life throws in the way, always look to the cross. Powerful photo from the https://t.co/6Qu2Qivb55",joy
2252,"The transfer race for this USER star, IS ON! 🔥💯 Both USER and USER are hugely interested in signing him! 😍⚽ https://t.co/jN65YK715d",joy
2253,Seriously? I’m all for because I was born the year they last got it and 24 years are two entire cycles. Just get that second round and get whoever is in the final.,neutral
2254,The most affection Jorah received from Daenerys was on his deathbed. Friend-zone mastered! https://t.co/3qNb0WiGZW,sadness
2255,"I look up and there’s black, A Red Sea begins at my back, As I see my love and luster, Begin to burn I rush to her, Knowing the risk I take, Feeling what’s at stake, I beg to save her, History and nature, I hope everyone is safe and pray for recovery.",neutral
2256,USER I can sleep so much better now that I know this,neutral
2257,T-Pain’s live tweeting of is the BEST. Him and Gendry is hilarious 😂,joy
2258,"""Screw the facts, give me blood on the streets"" https://t.co/hZJx0DA8nN",anger
2259,I’m so glad I’m caught up on so now so I can read tweets &amp; posts of all the hints &amp; foreshadowing I missed in past episodes.,joy
2260,How long do I wait before tweeting about I love 3000 and I want to yell about it on the internet. USER_Williams 💗,joy
2261,Two absolute heroes: &amp; They're separated by almost 70 years in age but united by the same cause of pressuring governments to finally take seriously. Inspirational. 🌍💚 https://t.co/9wBJY1fN6J,joy
2262,Amazing how good game research is! https://t.co/h9u8L8YhSR,joy
2263,USER By the grace of God you will never be in the People's House. Today is a reminder of the trail of collateral damage &amp; its policies have brought everywhere tried. https://t.co/XmzyCstwPS,disgust
2264,"Even though I knew what was coming I enjoyed even more the 2nd time around. The scarcity of dialogue, the music, the grimness...fantastic!",joy
2265,Deep down they must fall.This is what happiness is.. such a $h1t team this are..well done,neutral
2266,Think that’s the first time I’ve ever seen Messi play acting like a scumbag,neutral
2267,"I'm so tired of all those stupid conspiracy theories about the The whole problem with the fire was the hight of the cathedral, the buildings around it and the construction of the roof. Ask any fireman or bricklayer, carpenter and they will explain fully",disgust
2268,Hahahaha love it when people score and CELEBRATE against their old team!,joy
2269,is yesterday's news folks for I have stumbled upon an even more yuge emergency for us to shat our pants over (please excuse my language!). If was frightened before she'll be absolutely beside herself when she reads this... https://t.co/7f8sdXaNRt,fear
2270,We are with you all in this time of tragedy. My thoughts are with you. From New Jersey USA.,sadness
2271,"Feeling so sad about the beautiful, iconic and historic USER &amp; genuinely hope that this landmark can be restored 🙏🏼 https://t.co/bGljNGWkoH",sadness
2272,.USER says U.S. wants a peaceful transfer of power in,neutral
2273,"coup in affect: streets look like war zones, shots being fired everywhere and videos show scared civilians run for their lives.",neutral
2274,French President Emanuel Macron vows to rebuild 'even more beautifully than before'. This could be an excellent example for everyone that Western Countries take pride in every of their monuments. https://t.co/19Lmv17cOJ,joy
2275,"USER USER But the image selection algorithm certainly doesn't seem random. What are the odds that it chooses a photo of a city shrouded in smoke one day (when the is the biggest story of the day), and of itself the next?",surprise
2276,Back on the for 12 hours. Are USER that much of a bunch of pantywaists at being called out for talking shit about Seems so.,neutral
2277,Traditional high altar preserved. Novus Ordo altar destroyed. Chance or sign? https://t.co/01NHKHm3ob,surprise
2278,USER Criminal acts committed by a rogue regime. Except cancelling - that’s cool...,neutral
2279,"USER I loved the use of ‘cathedral thinking’ in this context too...#gretathunberg has the most beautiful, succinct and rousing way of expressing things &amp; ideas that others have found so difficult to sum up previously...but are actually simple and logical problems, brilliant lady!!",joy
2280,oh shit now we have 26,surprise
2281,Some people are comparing todays failed coup in with the Bay of Pigs. This is premature.We don't even know if USER had anything to do with it !,anger
2282,Excellent take on the Right-wing tactics against https://t.co/DzVyQds0nh,joy
2283,"On I'm grateful to have been introduced to books &amp; reading at a very young age. As a child, I had another world of my own to go back to after all the play. All the fairy tales, novels, crosswords in constant supply, I was indeed very lucky. https://t.co/UW6Mr7KGcy",joy
2284,USER probably did some of the best commentary/analysis of available thus far. Puts Notre Dame in context and sets some markers about how we should think about coming repair work. Great listen! https://t.co/MxYbYZVJ5z,neutral
2285,"USER USER Killer jokes. Speaking of killer, I noticed you are ignoring the military trucks in running over civilians. The video has been on every channel all day and yet you have been intentionally hiding from the topic.",anger
2286,"What is happening right now in in addition to its implications for freedom and prosperity in that country, will have huge ripple effects across the region, especially in allies Nicaragua and Cuba",fear
2287,Is right about carbonemissions? Would it be truer to ask if her sources of information got it right? https://t.co/Kj84mzbFCD,neutral
2288,A good book makes you fall in love with things you didn’t know existed inside of yourself.,joy
2289,"Is it just me that thinks instead of rebuilding Notre Dame, money should go into causes that are not paid enough attention to? Because I see far too many homeless people on the streets. I understand it’s history but our future is more important.",neutral
2290,"USER USER WAIT. The GREAT ORGAN SURVIVED?!? I thought it had been destroyed in the fire - that is good news. USER corroborates that + that the are still with us, hope the smoke/water damage isn't too severe... news: https://t.co/3VpElkuD2M",surprise
2291,🔎| Ousmane Dembele set an unlikely record tonight - most big chances missed per minutes played in a game. 1' played 1 big chance missed 🤦‍♂️ 3-0 https://t.co/vbNO9ya16M,neutral
2292,"So when it's inevitable USER gets the win today, they'll sub in HGH so he can accept the trophy? 🏆🏆🏆",neutral
2293,Happy World Book Day! Do you have a favorite book that you absolutely love?,joy
2294,It didn’t work USER 😢. You were wrong about everything. https://t.co/awc2onOwVp,disgust
2295,USER says USER’s safety must be guaranteed: https://t.co/tGvZxtVNGR,neutral
2296,How’s the “big winners” looking now USER_ ? https://t.co/qEpirr4swy,joy
2297,Ready for the 'Whatever it takes' takes? https://t.co/RwsvK6NpCN,neutral
2298,firefighters manage to save many artifacts from https://t.co/rTyouHne5B,joy
2299,I HAD NOT SCREAMED LOUDER IN MY LIFE... WHAT THE HECK MESSI!!!!! OH MY GOODDDDD!!!!,neutral
2300,My line-up for 💬 tonight we have the chance to win the title but let's not forget we also have a difficult match against Liverpool. We should rest some players. https://t.co/aXf66lteha,neutral
2301,"Happy Read a book, send a book, hug a book. https://t.co/xOo1JDaJkN",joy
2302,"Hey USER ! And if there was reincarnation after death? You better save the planet now or, on your return, you'll find a world of shit. Think about it, get smart!",neutral
2303,"📖 How can a city become a high-tech powerhouse? ""Cities of knowledge"" by USER examines why Sillicon Valley's magic formula of people, jobs, capital and institutions has been so difficult to replicate. 📚🌹 https://t.co/eQzxVAh8Zf",neutral
2304,Laura By Brandy R. Mckinnon Available on Amazon and Barnes and Noble. Who is Laura? A ghost 👻 story https://t.co/ya47ujXFH2,neutral
2305,USER USER USER USER USER Do you still want to deny that destroys! That’s it! It destroys everything! Look at The govt/ is killing their own people! I’m sure y’all will backtrack. But it’s too late. https://t.co/HXBlcmrwrS,anger
2306,"Theon, you're a good man, thank you!. https://t.co/ScSYpMW8OQ",joy
2307,"Happy World Book Day! Our residents are hard at work crafting their stories, poems and comics that will be featured in our book, ""Old Wise Tales: Life Lessons for a Future Generation."" Happy Reading! https://t.co/Qi18diWUHN",joy
2308,"I’m seeing “#Endgame” tonight, directly followed by last night’s “#GameOfThrones.” I’ll keep you posted on the number of times I cry. https://t.co/0u9moHfTks",sadness
2309,Why are they closing in on USER's best pals....what can be wrong in the socialist utopia Jeremy? God protect them all. https://t.co/7xq9Vp7WcU,neutral
2310,.USER this is my “Maduro is dead”celebration treat. https://t.co/OskaMjK13U,anger
2311,"Today is my cousin’s wedding (my mom’s sister’s daughter). Once Messi came on at the half, my mom and both her sisters stopped getting ready to watch.",joy
2312,Young people like and are changing this world for the better by fighting &amp; Old bags like USER_may are f**king it up through starting wars and arming wars criminals like https://t.co/TFEmdO0cX8,neutral
2313,Best episode ever. Only issue now is I won't get to sleep for ages. Nerves are shot.,joy
2314,"Starbucks has the last laugh! should quantify the unexpected publicity it garnered for this and pay royalty to Then GoT should donate it to Climate Change fight by this awesome girl from Sweden, from the North! 👏🙌🏼👸",joy
2315,Tons of emotions again in episode 3!!!!!! Now the real question is what happens next??!!? 😐,surprise
2316,"means International grants, as reparations, to the poorest nations, not IMF and WB loans. Industrialized countries are accelerating global warming.The equation is simple: = for the poorest. https://t.co/mw3xwmWlNJ",neutral
2317,Very interesting thread on today's 🇪🇸👇 https://t.co/AwgngOTpQ7,neutral
2318,Happy 2019! – Order my books from Amazon here https://t.co/G9LGHx0qsz - https://t.co/TkCTk3n4z6,joy
2319,📚 Get 2 FREE 🔊Audio Books 📚 From Just For Trying Out ❗ https://t.co/PpHE3EWFbv,neutral
2320,Happy Check out my new book here: https://t.co/pUI9Pcyq1Z https://t.co/SevsEm20Ez,neutral
2321,Knowing Barça would win while others act like it's a shock https://t.co/AlUnURVuA3,neutral
2322,Ajax beat Tottenham 1-0 in Champions League semi-final first leg READ: https://t.co/THd8xr5xK9 https://t.co/8jQtqPxLkj,joy
2323,We have a great sweepstakes happening on Instagram right now to celebrate Head on over to https://t.co/46epb2sKZZ to find out more!,joy
2324,"Happy everyone, one of our favorite reads so far this year is Becoming by USER What’s yours? https://t.co/AtrgDL4uz6",joy
2325,The only thing you do not provide peace in Venezuela is that the world is now becoming a blood-sucking vampire America https://t.co/ADcYLChK4H,anger
2326,Whoever disagrees that Messi isn't the best is shit at Football. That's it. F**k opinions on it! He is the greatest ever 😍❤,joy
2327,Everyone screaming to be let in the crypt: Sansa: https://t.co/5iEeRGpC7F,neutral
2328,will win tonight with a win over ✅🏆 https://t.co/t9pLK7GHNJ,neutral
2329,"Yep, this makes sense to me. Raze a rainforest to grow biofuels to save the planet. https://t.co/pUnmatLsbI",disgust
2330,"If only $340 million could be raised this quickly for cancer, aids, helping the homeless, mental illness, the wrongly incarcerated... things would be very different. People’s priorities in this world..",disgust
2331,USER Fingers crossed.. Hope to win..🙏😍,joy
2332,"Nothing can happen without allowing it to happen, so think now deeply....why has this destructive fire been created by man and allowed by God just prior to Easter? His timing was perfect in that sense. 3/",neutral
2333,Love the way he celebrated after successfully goaled by his sensational freekick https://t.co/xSwHkoR3nE,joy
2334,Watching people complaining about the lighting on last night and thinking: Am I the only one who solved it by shutting off the lights in my living room?,neutral
2335,Socialists the largest party in but short of overall majority - left and right wing groupings have no clear path to govern https://t.co/fs8gmq4vdw,neutral
2336,Looks like Milner is still mad at what Messi did against him in 2015. https://t.co/SWB1NAw9d9,neutral
2337,Fuck I'm glad I stayed off here until I'd watched the episode. 😂,joy
2338,I just realized I've never seen a baby goat jumping around in real life and now im pissed,anger
